source,target,weigh
sur876,ane833,264
sur743,ane465,261
sur366,ane833,256
sur93,ane75,208
sur647,ane465,191
sur743,ane536,188
sur825,ane434,175
sur89,ane346,145
sur684,ane238,134
sur584,ane833,123
sur584,ane465,111
sur712,ane351,105
sur293,ane380,102
sur342,ane75,99
sur975,ane918,98
sur293,ane908,98
sur342,ane465,91
sur107,ane918,90
sur342,ane559,87
sur190,ane476,84
sur584,ane75,82
sur962,ane985,82
sur17,ane434,80
sur647,ane394,76
sur712,ane439,74
sur876,ane346,72
sur962,ane536,70
sur745,ane465,70
sur825,ane394,70
sur743,ane346,69
sur712,ane736,65
sur876,ane394,63
sur190,ane351,62
sur584,ane536,62
sur684,ane439,61
sur342,ane346,60
sur584,ane559,60
sur876,ane465,60
sur366,ane473,59
sur89,ane327,57
sur876,ane918,57
sur698,ane559,56
sur200,ane492,56
sur698,ane434,55
sur89,ane238,54
sur876,ane559,54
sur89,ane559,52
sur795,ane699,51
sur710,ane238,51
sur825,ane63,50
sur712,ane776,49
sur17,ane536,47
sur584,ane362,45
sur698,ane885,44
sur743,ane492,44
sur293,ane536,43
sur962,ane434,43
sur698,ane238,42
sur684,ane985,42
sur962,ane346,41
sur190,ane630,41
sur342,ane833,40
sur89,ane75,40
sur698,ane833,39
sur93,ane559,38
sur293,ane130,38
sur89,ane682,38
sur795,ane130,38
sur876,ane736,38
sur698,ane75,38
sur190,ane536,37
sur190,ane918,36
sur962,ane130,36
sur293,ane346,36
sur698,ane476,36
sur710,ane465,36
sur584,ane908,36
sur584,ane434,36
sur584,ane63,36
sur647,ane63,35
sur825,ane918,34
sur366,ane918,34
sur93,ane536,33
sur89,ane465,33
sur89,ane736,33
sur293,ane630,32
sur342,ane63,32
sur293,ane559,32
sur89,ane536,31
sur190,ane439,31
sur584,ane885,31
sur293,ane885,31
sur876,ane63,31
sur89,ane380,31
sur795,ane833,31
sur293,ane238,31
sur93,ane985,31
sur795,ane346,31
sur876,ane380,31
sur89,ane885,30
sur788,ane938,30
sur584,ane346,30
sur698,ane465,30
sur795,ane536,30
sur584,ane380,29
sur795,ane238,29
sur975,ane346,29
sur93,ane346,29
sur876,ane908,29
sur743,ane518,29
sur17,ane736,28
sur584,ane238,28
sur293,ane736,28
sur293,ane682,28
sur876,ane345,28
sur366,ane238,27
sur710,ane559,27
sur745,ane536,27
sur710,ane515,27
sur825,ane376,27
sur342,ane394,26
sur293,ane492,26
sur684,ane536,26
sur684,ane63,26
sur710,ane908,26
sur743,ane885,26
sur698,ane264,25
sur17,ane346,25
sur698,ane439,25
sur584,ane985,25
sur795,ane885,25
sur962,ane439,25
sur647,ane682,24
sur876,ane238,24
sur93,ane833,24
sur825,ane465,24
sur743,ane559,24
sur584,ane544,24
sur795,ane380,24
sur876,ane518,24
sur93,ane465,24
sur342,ane699,24
sur342,ane885,24
sur795,ane776,24
sur825,ane985,24
sur342,ane604,23
sur200,ane544,23
sur584,ane394,23
sur366,ane130,23
sur426,ane476,23
sur89,ane376,23
sur574,ane908,23
sur89,ane699,23
sur584,ane736,22
sur93,ane63,22
sur89,ane645,22
sur200,ane130,22
sur876,ane75,22
sur293,ane938,22
sur975,ane630,22
sur876,ane130,22
sur876,ane985,21
sur782,ane908,21
sur93,ane736,21
sur876,ane165,21
sur293,ane63,21
sur190,ane559,21
sur190,ane346,21
sur584,ane225,21
sur200,ane473,21
sur93,ane687,21
sur416,ane473,21
sur698,ane380,21
sur710,ane492,21
sur17,ane130,21
sur17,ane508,20
sur93,ane682,20
sur710,ane682,20
sur293,ane645,20
sur293,ane327,20
sur684,ane346,20
sur710,ane130,20
sur712,ane345,20
sur17,ane559,20
sur93,ane345,20
sur825,ane362,20
sur876,ane687,20
sur962,ane351,20
sur975,ane130,20
sur293,ane75,20
sur293,ane67,20
sur293,ane699,20
sur876,ane434,20
sur962,ane473,19
sur342,ane536,19
sur190,ane473,19
sur293,ane476,19
sur342,ane238,19
sur190,ane130,19
sur825,ane736,19
sur584,ane67,19
sur825,ane345,18
sur426,ane130,18
sur743,ane75,18
sur876,ane327,18
sur426,ane508,18
sur17,ane63,18
sur795,ane657,18
sur426,ane434,18
sur584,ane473,18
sur89,ane657,18
sur293,ane345,17
sur190,ane376,17
sur366,ane736,17
sur17,ane351,17
sur710,ane476,17
sur17,ane492,17
sur89,ane918,17
sur975,ane699,17
sur684,ane736,17
sur795,ane75,17
sur876,ane544,17
sur366,ane465,17
sur698,ane376,17
sur584,ane687,17
sur93,ane776,17
sur426,ane492,17
sur743,ane434,16
sur89,ane544,16
sur426,ane985,16
sur190,ane908,16
sur795,ane465,16
sur795,ane351,16
sur17,ane376,16
sur876,ane508,16
sur17,ane515,16
sur975,ane988,16
sur293,ane465,16
sur962,ane938,16
sur743,ane682,16
sur93,ane362,16
sur366,ane657,16
sur200,ane630,16
sur947,ane473,16
sur190,ane238,16
sur190,ane699,16
sur89,ane687,16
sur710,ane918,16
sur93,ane238,15
sur93,ane376,15
sur795,ane645,15
sur710,ane985,15
sur293,ane544,15
sur975,ane465,15
sur200,ane434,15
sur584,ane630,15
sur975,ane380,15
sur876,ane536,15
sur684,ane559,15
sur426,ane439,15
sur782,ane380,15
sur200,ane988,15
sur366,ane536,15
sur426,ane515,15
sur93,ane394,15
sur876,ane492,15
sur190,ane736,15
sur795,ane376,15
sur876,ane473,15
sur293,ane248,15
sur962,ane492,15
sur426,ane682,15
sur293,ane776,15
sur366,ane439,15
sur795,ane630,15
sur710,ane536,15
sur342,ane985,15
sur684,ane362,14
sur293,ane657,14
sur876,ane351,14
sur712,ane75,14
sur426,ane988,14
sur17,ane918,14
sur17,ane985,14
sur975,ane518,14
sur712,ane985,14
sur684,ane345,14
sur795,ane559,14
sur293,ane515,14
sur200,ane351,14
sur416,ane130,14
sur825,ane473,14
sur825,ane346,14
sur17,ane630,14
sur876,ane682,13
sur795,ane63,13
sur416,ane938,13
sur22,ane508,13
sur584,ane492,13
sur962,ane238,13
sur975,ane657,13
sur584,ane988,13
sur825,ane439,13
sur426,ane465,13
sur975,ane238,13
sur293,ane687,13
sur93,ane699,13
sur366,ane988,13
sur743,ane544,13
sur89,ane476,13
sur585,ane536,13
sur366,ane699,13
sur710,ane885,13
sur293,ane439,13
sur698,ane682,13
sur342,ane327,13
sur663,ane380,13
sur876,ane264,13
sur293,ane362,12
sur710,ane630,12
sur962,ane645,12
sur975,ane492,12
sur876,ane604,12
sur584,ane165,12
sur663,ane645,12
sur876,ane248,12
sur876,ane776,12
sur89,ane439,12
sur876,ane225,12
sur89,ane394,12
sur426,ane75,12
sur584,ane248,12
sur426,ane938,12
sur585,ane630,12
sur876,ane439,12
sur710,ane92,12
sur426,ane885,12
sur416,ane508,12
sur795,ane327,12
sur342,ane351,12
sur585,ane238,12
sur876,ane515,12
sur293,ane518,12
sur416,ane346,12
sur876,ane885,12
sur795,ane67,12
sur200,ane657,12
sur795,ane544,12
sur426,ane833,12
sur416,ane630,12
sur190,ane992,12
sur342,ane544,12
sur426,ane362,12
sur782,ane518,12
sur426,ane630,12
sur93,ane380,12
sur743,ane439,11
sur366,ane544,11
sur200,ane536,11
sur293,ane376,11
sur710,ane362,11
sur93,ane508,11
sur426,ane544,11
sur426,ane351,11
sur366,ane345,11
sur975,ane885,11
sur416,ane465,11
sur782,ane465,11
sur89,ane833,11
sur416,ane908,11
sur190,ane985,11
sur426,ane908,11
sur782,ane833,11
sur17,ane682,11
sur975,ane908,11
sur17,ane908,11
sur366,ane67,11
sur366,ane508,11
sur663,ane492,11
sur710,ane544,11
sur366,ane351,11
sur795,ane394,11
sur200,ane682,11
sur190,ane434,11
sur782,ane130,11
sur342,ane67,11
sur342,ane492,11
sur743,ane699,11
sur585,ane699,11
sur962,ane165,11
sur89,ane63,11
sur584,ane345,11
sur416,ane492,11
sur825,ane380,11
sur698,ane918,10
sur17,ane687,10
sur366,ane908,10
sur710,ane988,10
sur795,ane264,10
sur17,ane327,10
sur585,ane351,10
sur190,ane165,10
sur426,ane687,10
sur962,ane833,10
sur782,ane476,10
sur366,ane394,10
sur782,ane776,10
sur710,ane736,10
sur190,ane508,10
