sort,Id,modularity_class
ane,ane130,0
ane,ane165,1
ane,ane225,2
ane,ane238,3
ane,ane248,2
ane,ane264,6
ane,ane327,6
ane,ane345,4
ane,ane346,3
ane,ane349,0
ane,ane351,4
ane,ane362,4
ane,ane376,6
ane,ane380,0
ane,ane394,6
ane,ane434,4
ane,ane439,6
ane,ane460,4
ane,ane465,0
ane,ane473,0
ane,ane476,0
ane,ane492,0
ane,ane508,6
ane,ane515,3
ane,ane518,0
ane,ane535,2
ane,ane536,0
ane,ane544,2
ane,ane559,4
ane,ane604,4
ane,ane63,3
ane,ane630,4
ane,ane645,5
ane,ane657,6
ane,ane67,3
ane,ane682,5
ane,ane687,3
ane,ane699,4
ane,ane736,4
ane,ane75,4
ane,ane776,4
ane,ane833,0
ane,ane885,0
ane,ane908,5
ane,ane914,5
ane,ane918,0
ane,ane92,6
ane,ane938,1
ane,ane985,6
ane,ane988,2
ane,ane992,6
cir,cir1,2
cir,cir106,6
cir,cir108,6
cir,cir110,2
cir,cir125,4
cir,cir126,2
cir,cir138,2
cir,cir140,2
cir,cir15,2
cir,cir151,3
cir,cir164,3
cir,cir166,2
cir,cir176,2
cir,cir185,6
cir,cir188,2
cir,cir20,2
cir,cir241,0
cir,cir244,2
cir,cir245,2
cir,cir249,6
cir,cir253,6
cir,cir260,6
cir,cir275,2
cir,cir277,2
cir,cir282,2
cir,cir297,6
cir,cir303,2
cir,cir312,2
cir,cir313,2
cir,cir321,1
cir,cir330,2
cir,cir336,2
cir,cir340,6
cir,cir341,1
cir,cir404,4
cir,cir413,2
cir,cir421,2
cir,cir432,2
cir,cir437,0
cir,cir443,6
cir,cir449,6
cir,cir470,2
cir,cir472,4
cir,cir512,2
cir,cir519,2
cir,cir520,0
cir,cir529,2
cir,cir553,2
cir,cir573,6
cir,cir576,2
cir,cir597,2
cir,cir606,0
cir,cir607,2
cir,cir608,2
cir,cir612,2
cir,cir613,1
cir,cir626,2
cir,cir628,2
cir,cir654,0
cir,cir660,2
cir,cir662,4
cir,cir683,2
cir,cir695,2
cir,cir701,2
cir,cir722,0
cir,cir725,2
cir,cir735,2
cir,cir737,2
cir,cir738,2
cir,cir757,3
cir,cir762,0
cir,cir766,2
cir,cir768,2
cir,cir78,6
cir,cir799,0
cir,cir811,2
cir,cir815,2
cir,cir819,2
cir,cir822,2
cir,cir83,2
cir,cir843,2
cir,cir849,2
cir,cir850,2
cir,cir853,0
cir,cir856,6
cir,cir859,0
cir,cir863,5
cir,cir867,2
cir,cir880,2
cir,cir890,2
cir,cir896,6
cir,cir898,3
cir,cir919,2
cir,cir924,2
cir,cir942,6
cir,cir95,5
cir,cir952,4
cir,cir980,6
fai,fai114,0
fai,fai116,4
fai,fai127,4
fai,fai129,0
fai,fai133,4
fai,fai137,3
fai,fai141,1
fai,fai149,0
fai,fai156,0
fai,fai171,0
fai,fai180,0
fai,fai182,0
fai,fai183,6
fai,fai186,0
fai,fai194,0
fai,fai197,1
fai,fai201,0
fai,fai206,2
fai,fai209,4
fai,fai210,0
fai,fai213,0
fai,fai214,3
fai,fai224,0
fai,fai225,6
fai,fai227,3
fai,fai228,0
fai,fai229,3
fai,fai230,4
fai,fai233,6
fai,fai234,2
fai,fai251,3
fai,fai252,5
